objeto,confianza,fotograma
bici,0.7805003296298548,587
persona,0.8819384090592077,27202
bici,0.7572857512346766,1018
coche,0.8285196196999023,39506
persona,0.8370005717143753,21265
perro,0.6874924567634552,24779
bici,0.8378464817737804,23399
bici,0.7769031011068197,6594
persona,0.6385994000932886,22948
coche,0.8976682160486182,41270
persona,0.7451491819494743,20875
bici,0.9078464332184414,39785
coche,0.39331118825890893,24002
bici,0.615009548018987,17257
persona,0.5528934833328875,37760
persona,0.7776076291177407,35255
coche,0.8620325480379598,659
persona,0.9058016030920611,27917
bici,0.7102261827811028,41379
coche,0.7102413970332546,33
bici,0.6982477782544901,18359
persona,0.8281693711420324,26306
perro,0.5473794400103735,30709
bici,0.7895756002204534,49539
bici,0.7673972897386755,16375
persona,0.759753376017444,30843
coche,0.9192218279264823,49585
persona,0.6079017132138255,28971
persona,0.7109615301928509,17737
coche,0.5796911467662813,19002
coche,0.808089954544306,6010
perro,0.7105300038281729,23189
persona,0.7173568752120449,46933
persona,0.8789929807641854,44118
coche,0.8460210133500318,15690
persona,0.912485204533854,13433
persona,0.8660746289868493,3042
coche,0.5407269523422136,27078
persona,0.4414515124656607,46865
coche,0.6770892571833754,25179
persona,0.7300811544929167,33609
bici,0.7728320443893322,29737
coche,0.5957514306863164,32702
persona,0.6241083419779745,35751
bici,0.6408122251439518,39120
bici,0.7926922184339453,357
persona,0.8019760788006415,15961
persona,0.8536216455170325,38794
coche,0.8364750793316507,20201
persona,0.7463430250817742,48637
persona,0.730501868915416,10016
persona,0.8754215357208336,1796
bici,0.5343983654361921,14324
coche,0.8869912525673965,37476
coche,0.8271033417567785,41734
bici,0.7245069283479846,43781
coche,0.8298712863454393,23233
coche,0.730431375566798,24790
persona,0.8207244658025246,14988
persona,0.4568603689223703,9098
coche,0.6809020721082163,25806
coche,0.8919810315842199,33250
coche,0.8558223454821111,43623
bici,0.7463730756561728,19696
coche,0.9522408962954172,19645
coche,0.9217816450901675,41023
coche,0.9190634723603162,37991
persona,0.9770998719800398,5305
persona,0.6093431753318787,9540
persona,0.9194311697074344,32809
persona,0.9651325655960009,39203
persona,0.5455982135644076,16114
bici,0.7751146076579627,12148
persona,0.8870655322458513,18444
persona,0.8269599819841584,47998
persona,0.8067792860960882,31211
persona,0.7385673971028933,49835
coche,0.46433045935706063,4681
coche,0.8475215163737138,11931
bici,0.8254848910716522,43338
coche,0.7679723016158867,28425
persona,0.8173777475782558,9809
bici,0.37372690948189097,26584
persona,0.505902328911674,2785
persona,0.8074092371926388,6685
persona,0.7065055787749236,37313
coche,0.6782944695921388,22213
coche,0.6633280268415972,42287
persona,0.5216628621598081,1493
coche,0.8388911953341782,27467
persona,0.7428432518467274,20282
coche,0.7408730323692884,19893
persona,0.8505202068870383,16439
persona,0.7698247302903131,20278
persona,0.6522341484163647,4671
coche,0.8204547346538389,5724
persona,0.7102628999024443,28140
persona,0.9281080270764919,37142
persona,0.5526303899557239,10923
perro,0.9425856243992314,36782
bici,0.5886747668207564,35312
coche,0.7543880249090571,1197
persona,0.5470724350145277,12379
perro,0.5505974154697878,6903
bici,0.6833092844482698,85
coche,0.9432314055807881,13944
persona,0.8436503210793278,19839
persona,0.6268160108705451,24419
persona,0.9749103119297277,5666
bici,0.5264828574568088,34015
coche,0.793659944968501,1207
persona,0.9473720070236128,21438
persona,0.5016134512754259,31817
coche,0.7699841111215321,18897
persona,0.7937644225025551,23314
bici,0.5989889805385219,39111
bici,0.8448330078653095,34311
coche,0.6956435197037347,37306
persona,0.9300866096670294,42207
coche,0.7119078061286908,39439
coche,0.8500818002808276,281
coche,0.7748984220739004,37032
persona,0.9604678506074317,3376
persona,0.8886464726749063,29052
persona,0.5883265132582399,26495
coche,0.6384785560550855,33898
persona,0.8932259829755645,13776
persona,0.9225200929829664,41280
persona,0.9337627748550226,11940
coche,0.7783426324282402,4413
persona,0.8472641425517413,8733
bici,0.7577265633162752,13330
coche,0.6329568754939014,1314
persona,0.7492566305960758,9640
coche,0.8461184853276014,43021
persona,0.7018178189667438,17887
perro,0.7271058166986158,43228
coche,0.8403111187572148,32386
bici,0.8912031122140823,21105
persona,0.701183269181894,24859
coche,0.6035388507277806,31711
coche,0.8033476980545848,8899
perro,0.6780184150767559,21347
coche,0.7145169341162229,36307
coche,0.6626497264688521,10617
persona,0.557641684573355,44479
persona,0.9031804209281664,1783
coche,0.8743760891178942,4984
persona,0.6974894575425409,47108
persona,0.880346351474181,10148
bici,0.7146970727322238,41170
bici,0.8064504717416588,19886
persona,0.8063768532902383,40686
coche,0.8942024839303864,27525
persona,0.9197278505220875,6776
coche,0.7262826397149256,35610
persona,0.6925157417999169,20257
coche,0.702241360508063,6835
coche,0.7968049490008099,28726
bici,0.6172356514629577,38661
persona,0.814978295131849,30549
bici,0.46514525401653145,42928
persona,0.6376529401563565,31394
persona,0.8962507619529949,36438
coche,0.9189969255800164,7141
persona,0.8675939058045207,31584
bici,0.8740705996576539,25805
bici,0.7600296860184462,32003
persona,0.9338211934999476,43091
perro,0.8283807629590014,663
persona,0.8208936127548911,20621
coche,0.7454810353902644,13076
persona,0.7746428655889194,46349
perro,0.7698004701167266,46297
persona,0.5406625293925457,12492
persona,0.8751706076429376,18176
persona,0.6683817044357881,4562
perro,0.892979693130777,24669
bici,0.8317864620435627,45294
coche,0.8781075697184414,12559
bici,0.9773151295559609,23140
bici,0.8270014848310555,12260
coche,0.8800625197774429,43787
persona,0.9176882694863029,6451
bici,0.6633917159335075,41355
coche,0.7282039823234797,4183
persona,0.9473073529854203,38002
persona,0.7349573675330356,37449
coche,0.7876351749138406,4263
persona,0.42623189380984217,7031
perro,0.7372789951862805,15754
persona,0.8461253298288123,43122
persona,0.4787311962943555,5111
bici,0.7529713404352825,7154
persona,0.8764880713409995,34061
persona,0.8229989198363505,26491
coche,0.874687628014464,35059
bici,0.7231747207924439,48080
persona,0.7614042491861188,42006
