objeto,confianza,fotograma,camara
coche,0.7990143819691239,36616.0,lateral
coche,0.8400139221656314,6204.0,lateral
persona,0.9111332540740246,44978.0,lateral
persona,0.4017169985178979,59145.0,lateral
persona,0.7731100757851821,33285.0,lateral
persona,0.624805826719728,16777.0,frontal
persona,0.9208377196462122,35700.0,frontal
persona,0.744800398902526,33522.0,lateral
persona,0.8703481746521846,47092.0,frontal
perro,0.7763716430519729,21877.0,lateral
coche,0.6100101595186466,42926.0,lateral
bici,0.8975524792575844,50121.0,lateral
persona,0.7614547946512797,53863.0,frontal
coche,0.5808061914704993,6131.0,lateral
coche,0.8592285766834689,12284.0,frontal
coche,0.7385302063552805,54269.0,lateral
coche,0.6087977847469693,11992.0,lateral
coche,0.8904785639226089,55389.0,lateral
persona,0.8152893673633675,54829.0,frontal
persona,0.6790613250405756,566.0,lateral
bici,0.9148883770834532,38020.0,frontal
persona,1.596854037764507,37013.0,frontal
persona,0.919846609431389,58244.0,lateral
persona,0.7116359085286953,40478.0,lateral
coche,0.6313866614412439,26530.0,frontal
persona,0.717244262599661,30121.0,lateral
persona,0.806369429753567,2633.0,lateral
persona,0.6786809260218669,16256.0,frontal
bici,,29553.0,frontal
bici,0.923377754706689,54013.0,frontal
perro,0.7236459124026677,37578.0,lateral
persona,0.8504979150615821,10007.0,frontal
coche,0.682031534397225,25826.0,lateral
,0.7196369761710397,45174.0,lateral
coche,0.8258125715032645,4787.0,lateral
persona,-0.24204397448901893,18350.0,frontal
bici,0.9247396017067614,38505.0,lateral
perro,-0.7690939551737876,33244.0,lateral
persona,0.6474449144187309,49465.0,frontal
persona,0.824181252312125,59226.0,frontal
coche,0.9102194144282659,15778.0,frontal
persona,0.7822156500063038,40910.0,frontal
coche,0.6845744573231112,57505.0,frontal
persona,0.7891811999973596,25603.0,frontal
persona,0.8774389143415312,11018.0,lateral
coche,0.9328185012324076,50181.0,frontal
persona,0.7828204422578763,4147.0,frontal
persona,0.7927956746173519,1497.0,frontal
persona,0.5918080885066548,46712.0,lateral
bici,0.968693302425932,33499.0,lateral
perro,0.5914763208177152,57316.0,lateral
persona,0.9238793158242609,14649.0,lateral
perro,0.7966378719783432,53426.0,lateral
coche,0.7094806645855929,27243.0,frontal
coche,0.8631689526995616,8526.0,lateral
coche,0.8061238724484983,3319.0,frontal
persona,0.853923248679755,3819.0,frontal
persona,0.9628175667142109,28322.0,lateral
bici,0.7373586758775222,37300.0,lateral
bici,0.5350857503807208,37142.0,frontal
persona,0.8369319262809397,57810.0,frontal
coche,0.8673268112430622,44521.0,frontal
perro,0.4229818158178961,48940.0,lateral
persona,0.8478462601744711,13690.0,lateral
persona,0.8747779129334574,38192.0,frontal
persona,0.6605798603314418,6309.0,lateral
bici,0.7756609023349978,30481.0,lateral
persona,0.7671885922187546,59076.0,frontal
coche,0.4825397130944324,20607.0,frontal
coche,0.8129427628511231,29576.0,frontal
coche,0.8573657068483969,48378.0,lateral
coche,1.7317276680009583,39047.0,lateral
perro,0.8959177332343746,13842.0,lateral
bici,0.960695202177054,40261.0,lateral
persona,0.8406867300559412,51575.0,frontal
perro,0.9723220165122552,56163.0,lateral
perro,0.5931806460450307,4624.0,frontal
persona,0.6614741033952479,51216.0,frontal
persona,0.8246543309976656,1491.0,frontal
coche,0.6637360634645516,17995.0,frontal
persona,0.8174040518804466,8662.0,frontal
coche,0.7087817805714522,9977.0,frontal
coche,0.7075946670958438,35890.0,frontal
coche,0.6550525681938976,51680.0,lateral
coche,0.9438678970595089,21504.0,frontal
bici,0.8839950385027433,23894.0,frontal
persona,0.6182616236700934,59458.0,lateral
bici,0.899482625455857,8906.0,lateral
coche,0.9235963168817636,9682.0,frontal
persona,0.5632677168462269,29778.0,frontal
perro,0.7306239881675876,41270.0,lateral
coche,0.6551882476260122,34537.0,frontal
coche,0.7654864370008992,41030.0,frontal
bici,0.6760583487893784,9743.0,lateral
coche,0.8658975060823648,,lateral
persona,0.7315518584682662,3642.0,lateral
persona,0.869178440911646,26766.0,lateral
perro,0.7712331177329829,10940.0,lateral
perro,0.7635473762765494,12461.0,lateral
persona,0.6416776303251375,25216.0,lateral
persona,0.9579354012513224,58818.0,frontal
bici,0.5984027680983413,29322.0,lateral
coche,0.5412253791459513,4209.0,frontal
persona,0.8991308224404355,17193.0,lateral
bici,0.6005473015422893,26057.0,frontal
persona,0.9648876840865924,16821.0,frontal
persona,0.917047428830097,32323.0,frontal
coche,0.8441383707190275,13290.0,lateral
coche,0.9039802313318636,3162.0,frontal
coche,0.8976539514832018,24458.0,lateral
coche,0.7365393408527939,30809.0,lateral
bici,0.6971864226132097,22701.0,frontal
persona,0.8063876716472558,53515.0,lateral
coche,0.5765013154618012,48185.0,frontal
perro,0.6376274438305631,6318.0,lateral
coche,0.905044398760411,35967.0,frontal
persona,0.9451962306727927,57355.0,frontal
coche,0.7503323444724461,17275.0,frontal
perro,0.7325705024016094,799.0,frontal
persona,0.8197021287660823,32888.0,frontal
perro,0.8323297864091534,28761.0,lateral
coche,0.9255935675303807,38547.0,lateral
bici,0.8248856112997265,7924.0,lateral
persona,0.6054796763591417,34392.0,lateral
coche,0.923458809009544,1820.0,lateral
coche,0.6821623181661479,57638.0,frontal
persona,0.36464138886023195,32379.0,lateral
coche,0.7338926496618892,3841.0,frontal
